AT&T Messages;Shared how to access	Retrieve those messages
Activation - Upgrade;Shared information/details	Have a activation fee charges for 45|Waive activation fees|Cant waive upgrade fees|Waive upgrade fee under her daughter s|Informed the customer of the pro rated charges and the activation fee|Found a time upgrade fee|Waive activation fee of 15
Activation - Upgrade;Shared information/details-Issued Adjustment	Offered a courtesy credit of 25|Have the activation fee waived|Are standard fees|Waive activation fee once|Adjust activation fee as one|Upgrade fees|Informed the customer that the upgrade fees
Activation/FTC Error (TG);Shared equipment replacement needed	Have the phone checked|Work customer|Compare device in call volume|Verified the volume|Make claim in asurion|Bre return on the device
Activation/FTC Error (TG);Shared how to access	Reset network settings through the settings|Bill towards mobile data|Offered the customer wi fi at home|Veried no 3d party apps installed|Was a 3rd party app|Download the app through the play store|Google play store|Are 3rd paty apps on play store|Delete the app power cycled device|Run a power cycle|Cor store for assistance|Use their mobile data|Reconnect issue persists|Download 3rd party app someone downloaded|Access third party apps|Use wi fi|Update applications in googlelplay store
Activation/FTC Error (TG);Shared manufacturer information	Do a backup for audio issues|Do a master reset|Contact apple for assistance|Troubleshooting advised customer|Contact apple to process warranty|Do the warranty claim|Soft reset device|Have an apple store in the area|1st went through tech guide|Reset network settings
Add a Line;Shared information/details	Mobile share plan|Settle the past due balance first|Get the asus memo pad|Pay past due balance|Be a soft credit check|Add another line to his unlimited mobile share plan|Add a line because customer had past due balance|Ti use mobile hot spot fromdevices|Send a mobile hot spot with his mobile share|Pay past due amount before additional line
Address/Email Address/Contact Numbers;Shared information/details	Was his billing address|Change billing address|Do pin val with his phone|Educate customer|Access the text message for pin validaton|Change email address|Complete pin validation|Added the email address to the account|Get a bill with his current address|Send pin validation|Gotten a new sim card|Received the bill with the correct billing address|Be updated current email address did|Unregister her old email address with the att account|Get the validation pin
Administrative Fee;Shared information/details	Are valids
Airtime Charges;Shared information/details	Showed him the directory assistance|Call directory assistance number|Set proper expectation to the cx|Extend the expiration date for another 1year next year|Add money bt customer|Call warranty customer refused|Confirmed the expiration date|Check customer refused|Set expectations|Removed the auto pay bt customer refused|Applied a credit for the directory assistance charge|Get directory assistance
Airtime Charges;Shared information/details-Issued Adjustment	Help the customer with a courtesy credit|Educated the customer on expiration date|Change plan to 30|Advise customer credit bal|Mobile share of 15gb|Aproved a courtesy credit of 20
Annual Plans;Shared rate plan options and details	Avoid service interruption|Buy the rate plan|Shared her plan exp date|Exp date|Change his rate plan|Advised the customer to power cycle|Land lines in mexico auto refill feature and the option|Change the plan set up the auto refill
Applications-Preinstalled (TG);Shared equipment replacement needed	Turn her phone back|Visit the att store|Buy battery from att store|Advise customer|Resolve issue advised customer replacement|Store location|Apple store
Applications-Preinstalled (TG);Shared how to access	Device support center|Had the customer power cycle|Hold power button|Att address book|Reset network settings|Att mobile transfer|Are 3rd party apps|Used the att transfer app|Helped her perform master reset on the defective old phone|Sync his contacts from his att address book|Have email address on his flip and the device support didnt show att address book
Applications-Preinstalled (TG);Shared manufacturer information	File an insurance claim|Call apple care|Complete a soft reset for resolution|Replace phone through insurance claim|Have apple id password reset|Resolve issue infomr customer of samsung number|Do a soft reset on the device|Verify old apple id|File the warranty claim|Visit apple store for further trouble shootin|Take her device to a local apple store|Tech support|Make a warranty claim|Expaleind the out of warranty date and the physical damage aspect|Check apple support site|Made a tech guide transferred|Recommended he contact apple for warranty claim|Samsung number for the garaty|Share the same apple id|Resolve issue through tech guide informed customer|Did a tech guide on the phone|Apple provided number
Applications/Gaming Issue;Shared how to access	Educate the customer|Do soft reset|Get new phone|Have device|Block an unknown caller|Block a contact through his device
Authorized User;Shared information/details	Cor store for sim|Get sim card|Add authorized user|Notadd son as auth user|Have the auto generated pass code removed|Add an authorized user|Send a temp pin|Account holder|Do pin validation|Change the pass code on the account|Added the authorize user to the account|Visit att cor store|Add a pass code|Update the authorized user information|Shared self service option with the cs|Are no authorized users on account|Get a basic phone|Get free sim card for iphone|Add the wife as a authorize user but wife|Advised self service options|Delete phillip as a authorized user & add shelah|Was an auth user
BES/BES Express (TG);Shared equipment replacement needed	Fix issue with no resolve|Informed the customer
BES/BES Express (TG);Shared how to access	Download the yahoo mail app|Reset pw then|Perform master reset on device|Add email successfully on phone|Use email app|Place her apple id password|Try power cycle|Add email|Checked the settings for email server|App store|Update her email address|Have a call back|Done a master reset ect email works|Readd email accounts|Tech guide caller|Remove the email accounts|Download att remote support|Set the email account|Turn wifi|Create his own email address for example|Get her yahoo app
BES/BES Express (TG);Shared known network issues	Informed the customer
BES/BES Express (TG);Shared manufacturer information	Assist the customer via tech guide but the email|Contact it department|Do a master reset refered customer to manufacturer|Receive email with no problems|Be an issue w email carrier|Contact his email provider|N t set|Manage all live accounts|Checkeed all email settings|Receive emails
Bill reprints;Shared information/details	Send paper bill reprint|Confirmed no other bill generated yet since cancellation occurred current bill cycle|Change the billing address|Do a bill cycle change|Get the bill reprints|Advise the final bill|Bill onfinal bill|Offered her self service options|Make the changes to her billing online|Did a recent address change
Billing - Box from AT&T;Shared information/details	Apple care support|Updated her pass code yesterday|Past due balance|Have a delay with the pass code change confirmation|See a past due balance on the account|Experience reduced speeds|Explained the due date standardization process|Had some delays in pass code change notifications|Use his mobile hot spot on this unlimited plan|Download a 3rd party app
Business Promotions: Other;Shared information/details	Do a buy back at the att store|Have a eligible smart phone turned|Educate customer that customer line|Contact buy back|Billing cycles|Take effect in the next billing cycle|Connected her over to the rebate department
Call or Messaging Details;Shared information/details	Had no high speed data on the account anymore|Mobile share plan|Told the high speed data was already|There is a past due balance|Was no longer on grand fathered plan|Check usage on myatt and shared high speed data|Avoid future overage charges|Consumed his high speed data|Confirm sent ed grand fathered plans|Charged a late payment fee
Call or Messaging Details;Shared information/details-Issued Adjustment	Add a data package|Mobile share|Upgrade fee on wife phone
Caller ID/ Call Feature;Shared equipment replacement needed	Visit the store for further assistance|Contact blackberry for assistance
Caller ID/ Call Feature;Shared how to access	Reflect new caller id on wired lines|Find the app on play store|Download 3rd party app|Be an issue with the sim card|Call registry|Try 3rd party apps|Download apps from the play store|Change caller id to his name|Make sure sim card|Change the caller id on the line|Cellular data|Block caller id|Get contacts off sim card but customer|Been a 3rd party app|Verify the pass code|Be smart limits|W call forwarding|Correct caller id found|Know account info|Solve the issue under the had voice customer tab|Connect referred customer|Check app store|There is a third party application
Cancellation - Port Out;Shared information/details	Provide the pass code|Contact service provider first|Set expectations of final charges|Reduce cost on mobile share plan|Have a pin pass code so|Verified his pass code|Msv plans|Add pass code to account
Cannot Make or Receive Calls (TG);Shared equipment replacement needed	Gotten a new sim card|Completed a warranty replacement by mail|Did a warranty exchange|Advise customer of warranty period insurance option and upgrade option|Sendout warranty replacement|Put her sim card back into the old phone|Put a credit card in the system|Charged the value of the replacement device|Advise customer|Process warranty|Remove sim card|There is liquid damage|Store rep. offered|Review replacement options|Gave me the sim card number|Completed a master reset
Cannot Make or Receive Calls (TG);Shared how to access	Done a power cycle|Do a reset network settings|Get customer to power cycle device|Get sim card|Replace sim card|Update software on device|Was her sim card|Tech support|Reactivate her sim card because the sim imei|Call customer back|There is a software update but wifi|Turn phone back|Were no known outages in the area but power cycle
Cannot Make or Receive Calls (TG);Shared known network issues	Resolved no resolution date|Tech guide informed caller there|Gave her the resolution date
Cannot Make or Receive Calls (TG);Shared manufacturer information	Are the only iphones|Work advised customer about apple warranty replacement|Advised no known network outages|Make a warranty claim|Update the software|Advised the customer|Call another chinese number|This is a device issue|Be the phone|Apple store|Be resolved advised customer|Restore iphone|Have phone|Do a factory reset
Cannot Receive Text Messages;Shared how to access	Advised the customer|Advise customer
Cannot Send or Receive Text/SMS (TG);Shared equipment replacement needed	Change the phone|Guided the customer with the steps|Educated the customer about the info|Issued a warranty replacement|Have computer|Was a coam device attempted|Restore software on device|Use sms|Did a back|Changed the sim on the phone and same issue|Restore phone to factory default and same issue|Transfer files to a memory card or computer|Replaced the phones|Send sms|Guarantee services on coam devices|Performed all normal troubleshooting previously|Hear the sms
Cannot Send or Receive Text/SMS (TG);Shared how to access	Sent the enhanced smsc address|Was a data block on his line|Reregistred the devicepower cycled|Let the person power cycle|Have her power cycle|Reset text message limit|Apply a master reset to the phone|Explained his mobile data|Receive advised customer to power cycle device|Attempt master reset|Reset network settings|Do a master reset on the device threw settings and buttons|Had the data blocked on this line|Follow tech guide|Send mms mobile data|Tech support|Had the text messages|Educated the customer that mobile data
Cannot Send or Receive Text/SMS (TG);Shared known network issues	Call customer back with tech next step was power|Have the data|Was a known issue in the area|Update device at the time|Are unable guarantee services for data|This is a non att device|Expaleined the planned restoral time|Was a knewn issue went through tech guide|Enhance data|Provide sms in customer s|Have good coverage in her area|Call his provider
Cannot Send or Receive Text/SMS (TG);Shared manufacturer information	Send test sms|Call tech supp|Apple search|Resolve issue|Had the phone then|Switch reset network settings|Walked the customer through the tech guide|Change the settings there|Toggle imessages|Made a test text from an iphone|Have no issues|Apple store for check caller|Replace the device|Have apple tech support|Find any issues with data or sms|Explained the issue in depth|Work suggested customer reach|Smart phone from feature device|Meet the criteria for a network issue|Informed the cust|Take phone|Call this number|Have wifi at home advised customer|Contact apple support|Update available pertainging to that issue
Change NBI or Cons Bill Cycle;Shared information/details	Educated the customer about the payment due date standardization|Explained the bill cycle due date change|Change bill cycle date|Expressed his fustrastions with the standarized bill due date change|Had her bill cycle date changed yesterday
Check Balance Due;Shared information/details	Educated the customer that the full past due amount|Explained the proration for her recent bill cycle change|Pay her full past due balance|Wait the billing cycle due date|Advised the current bill cycle closes on 10|Change bill due date to another date|Advise payment due date standardization in his market|Explained the international long distance charge of 25|Made an international long distance call at 28|Was a 3rd party app|Made a payment for passed due balance
Check Upgrade Options;Shared 2yr upgrade options	Pay the past due balance|Lose mobile share discount|Pay an early upgrade fee|Lose her line access fee|Change the monthly access fee for that line and discount|Pay full retail price informed customer|Have hot spot devices|Keep his grand fathered plan|Loose her mobile share discount so her bill
Check Upgrade Options;Shared Installment Plan	Pay past due balance|Pay full retail price for device|Lose mobile share discount
Check Upgrade Options;Shared Trade-in upgrade options	Pay past due balance|Pay the upgrade balance amount of 696|Be ingood conditions|Explained the shared upgrade options|Pay the early payoff amount for the eligible line|Change the plan through myatt app
Check Upgrade Options;Shared pre-order information	Do a cross upgrade|There is a past due balance|Had a past due payment|Make early upgrade|Share information|Call backl in an hour|Use sim card|Have her call back on sept.|Received a call back from the person
Connected Car;Shared how to access	Call customer back for sim card number|Correct any issue|Was a network issue for the volte market
Connecting to Internet or Wi-Fi;Shared how to access	Need turn|Confirmed no block was
Consolidate or Split Account;Shared information/details	Are separate bill|Lose the fan discount|Educated the customer about the past due balance|Split account|Have unlimited data|Educate customer|Complete care center for unified billing|Both lose unlimited data|Need their own mobile share plan|Lbe applied educate customer of 3
Contract Change;Shared information/details	Provided the end date of 2|Know the mobile share plans|Have an early termination fee|Be end based snapshot info as request|Pay the early payoff amount|Paypast due balance|Advised the customer of her early termination fees|Have any service usage within the current billing cycle
Daily Plans;Shared rate plan options and details	Forced the rate plan|Provide adjust advise to process payment
Data Features;Shared how to access	Informed the customer|Provided the number|Enter vm password|Reset the passcode|Remove the vm greetings in his phone
Data Features;Shared information/details	Try sim card in another phone|Reset vm password
Device Touchscreen/Key Pad/Display Issue;Shared how to access	Troubleshoot device
Device Unlock Code Request;Shared eligibility requirements	Submit an unlock request online|Offered the international plans|Updated the pass code on the account|Unlock her device until the past due balance|Have a proper pass code informed|Pay past due balance|Have account holder call|Use an international plan for 2|Setup personalized pass code|Complete installment plans in order|Add international plan
Device Unlock Code Request;Shared information/details	Submit device unlock request online|Request the device unlock code from att|Had a past due amount|Wait till contract end date pay off etf|Gave a wrong pass code|Entered the wrong pass code by accident|Submit another device unlock code|Continue checking site as per decision flow|Sent him the device unlock site|Re submit request after past due amount
Device Unlock Code Request;Shared unlock instructions/process	Put a device unlock code request|There is a past due balance|Was a pass code mismatch|Submit unlock code request online|Pay past due balance|Choose this option in the device unlock web site|Submitted an unlock request online for iphone|Do past due amount
Device/Software Freezing;Shared equipment replacement needed	Determine the replacement by warranty or insurance
Device/Software Freezing;Shared how to access	Take the device to the store locations
Directory Assistance (411);Shared information/details	Stated the directory assistance|Reduce the bill
Dropped Calls / Voice Quality (TG);Shared equipment replacement needed	Use warranty advised customer|Change his sim card just in case|Educate customer|Do a master reset|Did a warranty replacement device|Explained the difference between warranty and insurance|Changed the sim card|Gave him the warranty number|Tech support|Educated the customer on apple warranty process|Replaced sim card on 7|Download info on replacement device|Do warranty|Call warranty for an exchange|Check device|Make the cancel registration
Dropped Calls / Voice Quality (TG);Shared how to access	Advise customer to power|Resent ota|Power cycle|Explained the open case|Tech guide informed customer of coverage map|Get tech support|Have a sim card|Have indoor coverage at this location educate customer|Fry the sim card|Pay full price for microcell offered microcell|Master reset|Did the tech guide|Advise customer of microcell
Dropped Calls / Voice Quality (TG);Shared known network issues	Resent ota|Explained the planned restoral time|Provide the customer with a palnned restoral time|Tech guide informed call of the outage|Shared the planned resolution date|Reset network settings
Dropped Calls / Voice Quality (TG);Shared manufacturer information	Receive a new device tomorrow so|Power cycle phone|Contact apple|Resolve issue|Offer warranty to iphones|Do a warranty exchanged shared apples info|Update software|Replace his device|Have access to another device customer|Give him the number of warranty|Reset the device|Update her version|Call tomorrow|Update these changes|Have warranty|Determine origin of issue none|Call warranty|Troubleshoot further customer informed|Locate another phone|Followed the tech guide|Recommended she visit apple for diagnostic test
Early termination fee;Shared information/details	Waive the restoral fee per the account|Charged a early termination fee for line|Have a restoral fee late payment fee|Are contract termination fee on ctn|Receive final bill|Explained the snowball of past due amounts|Were the early termination fees for two|Hasa past due amount
Early termination fee;Shared information/details-Issued Adjustment	Are no notes|Gave a courtesy credit|Explained the charges|Ahdjust etf|Had the etf fees removed|Get a email about final bill and last bill|Cancel the line|Waive the etf otc|Had an etf of 94|Had a etf on his cancelled tablet|Cancelled the ipad|Pay her etf
Equipment Return/Exchange;Shared Return/Exchange information	Track the return because the return shipping label|File insurance claim with 25|Billed the full retail price|See notes per smart label website
Equipment Return/Exchange;Shared Return/Exchange status	Gave the tracking number|Tracked the device on smart label and the status|Track return|Set expectations about the time frame|Have a copy of return label|Contact the postal office|Adjust the return info|Have tracking number nad|Find tracking number for return|Received the device through smart label website check|Check her tracking number
FAN Contract Information;Shared Discount Details	Upgrade activation fees|Contact discount verification team|Explained his planis grand fathered plan so the fan discount|Visit cor store|Contact the verification team after christmas|Have a work email address
Home/Business/3rd Party (TG);Shared how to access	Reset the vm password|Set vm|Reset the restrictions|See the current voicemail password for her own protection|Terminate call|Setup vm by pressing|Reset voicemail|Walk customer through the self services|Do a hard reset|Call her tn get through the prompts|Caused the vm setup|Want vm pw|Reset vm pass code through the ivr|Updated the other lines caller id mobile user names|Retrieve deleted voicemails if option|Reset vmail|Know the vm password informed|N t reset customer password from torch|Reset her password|Assist customer with password reset but customer|Gave him default password
In-Home Wiring (TG);Shared equipment replacement needed	Apple store|Make a master reset|Do insurance|Have insurance on the line|Contact wsc|Do an oow exchange with apple|Contact her 3rd part insurance|Explained her options|Tech support|Provide warranty contact number|Get her device replaced|Contact apple|Make a tg shared information about the att|Do a warranty replacement|Call apple
In-Home Wiring (TG);Shared how to access	Did a master reset on device|Hard reset|Complete a master reset|Visit apple store for warranty replacement|Have her power cycle|Soft reset device|Hold the power button with the home button|Advised a master reset|Apple store|Remote support on phone|Do a hard reset by pressing home and power button|Contact apple|Be considered physical damage strongly|Do a hard restart as tech guide|Cover liquid nor physical damage|Tech support|Put the device into recovery mode
In-Home Wiring (TG);Shared manufacturer information	Did a soft reset on phone|Call apple care|Fix it shared apple support|Make warranty claim|Tech support|Apple care number provided in case|Contact apple support as per tech guide|Connect customer to our tech support|Apple store|Renee educate customer that the only final step|Apple store for further assisstance|Contact apple care|Evaluate the warranty claim|Make an appointment with apple store|Refuse advise customer|Complete a master reset on the device but the customer
International Data Charges;Shared information/details	Made an international long distance call|Informed the customer of the international long distance|Cover international long distance|Requested a adjtustment for the long distance call|Incurred a long distance call charge of 21|Have a late payment fee
International Data Charges;Shared information/details-Issued Adjustment	Add international long distance block|Had the world connect plan|Had a huge amount of international roaming charges|Had our international passport plan|Add att world connect|Explain customer about international roaming minutes
International Long Distance;Shared information/details	Educated the customer on international charges|Were no charges|Advise customer of passport pkgs|Provided the customer with the details and features|Explained no charges posted yet for calls|Add the mexico|Have ppu international feature|Get a passport|Educate customer not|Gave her information about passport and ppu charges
International Package;Shared information/details	Shared the calling|Land lines|Call wireless line|Checked the account|Lose them next month as the package|Ahev her plan|Was a charge for a call|Call mexico|Add the package|Int plans|Applied the ild package twice checked|Have calls|Activate the local plan of 45|Educated the customer about the plan|Purchase package online|Use ppu|Gave ppu rate|Change his plan|Made the call
International Roaming Messaging;Shared information/details	Shared the att passport plan|Cruise ship packages|Avoid roaming charges|Offered the international passport plans|Occur any international roaming charges|Add the world connect plan|Have international roaming charges on next bill
International Roaming Plans;Shared information/details	Att world connect for 5|Have unlimited international messaging|Set proper expectations|Have att mexico roaming bonus|Informed the customer on cruise ship ppu rates|Wanted an old grand fathered plan
InternationalMessaging Plans;Shared information/details	Have unlimited international texting|Have no cruise packages|Gave him information about the passport packages & pay|Use cruise ship wifi|Avoid ppu rates|Shared the unlimited international text on the mobile share plans|Explained the cruise ship package to the customer and ppu rates|Add otc charges for cruise packages|Accommodate her international roaming|Provide unlimited messaging|Had the mobile share value|Share details|Gave her the ppu rates
Late Fee;Shared information/details	Waive the late payment charge|Had a past due balance|Avoid late fee|Hasalate payment charge|Had a late payment fee|Shared the past due balance|There is a past due amount|Informed the customer of those past due balances|Get his bill cycle changed|Explained a call to directory assistance
Late Fee;Shared information/details-Issued Adjustment	Waive late fees|Wave the late fee|Pay a late fee|Incur late payment|Waived both late payment charge for the customer|Credit late fee as one|Waive the late fee on this current bill but his next bill|Show another late fee|Change billing cycle to due date|Waived the fee for good adjustment history|Keep the current due date on 19th|There is a past due balance|Get her due date
Lost or Stolen Adjustment;Shared information/details	Have the mobile locate app|Stolen device team for further assistance|Use family map|Assisted the customer in black listing|Suspend the line customer declined at this time|Use android device manager
Make a Payment;Shared information/details	Pay the convience fee|Avoid the convenience fee|Pay convenience fee|Add the credit card info by express pay|Have her final bill as bill cycle|There is no credit card info|Indeed a past due balance of 143|Be a convience fee|Make payment on past due balance|Pay the full past due balance|Been a late call about her past due prior|Advise customer of the 5late fee and new billing due date|Was the only charge for late payment fee|Call his card company
Manage Autopay;Shared information/details	Take effect on next billing cycle|Tak auto pay|Get due date back|Updated the customer credit card information for autopay|Check her account on the billing due date|Requested the due date|Give us a call on due date|Make payment for past due balance payment|Update card information|Have the auto pay set|T show autopay on snapshot but express pay|Had a past due balance|Change her due date|Make a manual payment|Informed the customer that their actual due date
Messaging Plans;Shared information/details	Download a 3rd party app|Have the line moved to her other account w mobile share plan|Mobile share|Display the history of regular text message sent|Informed the customer about their billing cycle|Suggested a switch from her grand fathered plan|Consider 3rd party apps|Have text messaging|Keep record of time date place and number sent
Microcell;Shared how to access	Text text messages|Reset the micro cell|Educated the customer that a microcell|Add user via text message|Advised the customer|Online account|Tech depatrment|Update her phone number on her apple account|Assist customer|Reset password|Educate the customer on blocking|Tech support|Updated his address|Make sure imessages were|Provided the phone number for android support|Sent the messages
Mobile Content Charges;Shared information/details	Shared the multi device protection pack|Offer process pay customer desagree|Researched the mobile share comparison tool|Was the federal universal service charge
Mobile Content Charges;Shared information/details-Issued Adjustment	Verify the mobile share savings|Was a loya customer with good adjustment history|Offer process pay customer desagree for bill due date|Pro rated charges|Pro ration loss of mobile share discount and upgrade fee|Cover the late payment fee|Put a permanent data block on the line
Mobile Hotspot Connectivity (TG);Shared equipment replacement needed	Told no warranty|Guarantee service on a cell phone|Get a new sim|Upgrade options|Have the customer power cycle|Charged the value of the replacement device|Do a master reset|Replaced sim card|Be temporary hold to process warranty|Guarantee services on non att devices|Corrected the problem recommend reset as temp solution
Mobile Hotspot Connectivity (TG);Shared how to access	Use their mobile hot spot|Use the hot spot feature|Switch customer back to the other mobile share plan customer|Was a temp data block on the account|Educated the customer that the hot spot device|Mobile share plan|Get the mobile hot spot feature back by switching plans|Put a hot spot device|Use the mobile hot spot with the att unlimited plan|Support mobile hot spot|Connect her mobile hot spot device|N t activate mobile hot spot on his phone|Use his phone as personal hot spot but customer
Mobile Hotspot Connectivity (TG);Shared known network issues	Wait till next billing cycle|Tech support client|Reset network settings|Default power cycled device|Informed the customer of the planned restoral date|See any data blocks in tlg|Run tech guide
Mobile Hotspot Connectivity (TG);Shared manufacturer information	Apple store|Do the master reset on the device|Ba a device issue|Be a wifi issue|Received a great deal of data|Followed the tech guide|Do soft reset|There is no data block|Educated the customer that his unlimited data|Use the hot spot on her ipad|Resend the activation|Locate the mobile hot spot password|Reset desktop|Use data|Need a saperate data plan as unlimited data
Mobile Hotspot Plans;Shared information/details	Return her personal hot spot to the store|Have personal hot spot options|Have unlimited talk text data
Mobile Hotspot Plans;Shared rate plan options and details	Manage accountonline
Mobile Share;Changed Mobile Share - Advised of effective date	Cover this current bill cycle|Mobile share plan
Monthly Recurring Charge(s);Shared information/details	Had a past due balance|Had a mid cycle plan change|Provide this grand fathered plan to the customers|Charged the monthly recurring charges|Are the line access fees|Changed their plan from family talk|Mobile share plan|Be mrc s from previous viva mexico plan past due balance
Monthly Recurring Charge(s);Shared information/details-Issued Adjustment	Keep their unlimited data|Expect prorated charges|Are valid charges|Have unlimited data so|Cover charges|Offered a courtesy credit by 25.
Nation Plans;Shared information/details	Offer process pay customer desagree|Have the hot spot feature included|Keep their current grand fathered plan|Add a line for a mobile hot spot device|Have hot spot capabilities
No Wireless Device Detected (TG);Shared equipment replacement needed	Performed a reset already
No Wireless Device Detected (TG);Shared how to access	Have her power cycle|Reset vm password|Placed a test call|Provide the visual vm|Get an sd card|Cor store|Put a data block on his phone|Store things on her sd card|Cellular data|Advise customer on 1|Get their vm box set|Download visual voicemail|Finish tech guide|Have visual vm|Have a sim card in another phone|Use the visual voicemail|Got a new sim card educated that rpleacing|Call the basic vm box|Verify assisted customer with general vm setup process provided customer|Tech support
No Wireless Device Detected (TG);Shared known network issues	Use the basic vm by calling|Create a vm profile for the cx
No Wireless Device Detected (TG);Shared manufacturer information	Setup the greatings|Either reset phone over data
Non Payment Restore;Shared information/details	Make the payment arrangement because past dues|Pay past due amount of 212|Pay the full past due balance|Have payment for the total past due balance posts|Pay the full past due amount|Allow a reconnections without past due balance|Done the total amount of the balance answer|Do a credit check|Have a past due balance of 66|Restore needs to power cycle devices|There is a past due balance|Provided him the info about the past due balance|Restore lines until entire past due balance|Take a payment for the full balance
NumberSync (TG);Shared equipment replacement needed	Replaced the device|Find any wifi|Did a reset network settings still|Get new device|Order warranty if reset
NumberSync (TG);Shared how to access	Get the device fixed advised customer that her device|Have another phone available gave steps|Revert device default settings|There is a software update|Have wifi pw|Reset network settings|Get reset password|Do a factory reset|Wifi educated customer|Use saperate number
NumberSync (TG);Shared manufacturer information	Reset his network settings|Wifi every time|Take the network|Turn wifi|Advised the customer|Gave him the number that tech guide|Have wife devices|Apple store|Exchange his device|Do a hard reset on modem
One Time Fees- Other;Shared information/details	Help customer by manager ronald calvo approval|Myatt app educated customer|Informed the customer of the pro rated charges & upgrade fees|Advise customer of bill due date change etc|Had some pro rated charges on the account|Had his bill cycle date changed
One Time Fees- Other;Shared information/details-Issued Adjustment	Explained our mobile share plans with the caller|Changed the bill due date|Was a bill cycle change on the account|Get late payment charges
Other Charges;Shared information/details	Had the bill due date at a certain date|View bill online|Been a constant past due balance on the account|Make collection process|Need full past due ammt in order|Waive the late payment fee as a courtesy credit|Advise base price of account
Other Charges;Shared information/details-Issued Adjustment	Offer process pay customer desagree for bill disput
Other Features;Shared information/details	Have the personal hot spot feature|Download 3rd party apps|Use the hot spot feature|Be use with the grand fathered plan|Include hot spot features|Was no hot spot capability with unlimited data|Was a plan change yesterday to the att unlimited plan and the hot spot feature
Payment Options;Shared information/details	Pay the past due balance|Make a payment arrangement online|Pay past due amount by 08|Have her bill cycle changed|Be a late payment fee
Payment or Deposit Research/Refund;Shared Payment information	Bioll due date change explain bill due date change|Have a past due balance|Created apast due balance|Charged the late payment fee|Paid the past due balance|Was a bill cycle change done so|Confirm their posting time frame|Educated the financial institution declined|Waive late payment fee|Put the account in past due status regardless
Payment or Deposit Research/Refund;Shared Refund information	Contact financial institution for info|Processed a payment arrangement|Said the due date was also|Provide bank statement|Duplicate payment|Create a past due balance|Have the payment arrangement cancelled|Make modifications prior to due date|Reversed the payment for customer & set expectations
Port In;Shared information/details	Be a port in provided number informed customer|Put our sim card|Add a line for a wireless home phone|Ship a sim card for the port|Call pac|Need sim card as per pac|Call pac for further assistance but customer|Contact pac|Get another sim card for device|Contact straight talk|Contact the other carrierto provide pass code|Provide him pass code for account|Provided the pac number|Contact verizon|Complete process by having account owner add
Prepaid Balance/Charges;Shared information/details	Correct address advised customer that no payment
Prepaid Rate Plan;Shared information/details	Include data so his device|Use data|Mail sim|Credit funds|Add money to the account|Had the other account cancelled then|Be a prepaid account|Store s|Receive a new sim card for a prepaid service|Have plans|Shared the cost|Visit local cor store for new sim|Get plan|Informed the customer|Vm left vm message added data|There is a credit|Att store for free sim
Prepaid Support;Shared information/details	Canceled the plan
Prepaid activation;Shared information/details	Navigated the customer to the usage manager|Asist customer further|Have device
Primary Account Holder Change;Shared information/details	Have a data plan|There is no activation fee|Changed the primary number on the bill|Was a pass code mismatch|Changed the pass code|Add her number as the primary account holder|Contact account holder|Tech support|Block list|Covered the past due balance
